Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2,y3
1.00,-0.61,-1.11,-0.56,-0.95,-0.58,-2.37,1.27,1,0,0
1.00,-0.74,-0.91,-0.77,-1.07,-0.68,-3.58,0.48,1,0,0
1.00,-0.80,-1.07,-0.72,-0.89,-0.70,-2.86,-0.14,1,0,0
1.00,-0.55,-0.99,-0.71,-0.89,-0.77,-2.61,0.18,1,0,0
1.00,-0.74,-0.89,-0.67,-0.89,-0.62,-4.11,0.50,1,0,0
1.00,-0.59,-0.92,-0.65,-1.15,-0.57,-4.37,0.41,1,0,0
1.00,-0.70,-1.18,-0.52,-1.03,-0.78,-2.93,0.04,1,0,0
1.00,-0.77,-0.88,-0.53,-1.17,-0.50,-1.34,0.29,1,0,0
1.00,-0.53,-0.93,-0.68,-1.02,-0.68,-3.35,0.01,1,0,0
1.00,-0.80,-1.01,-0.43,-1.03,-0.44,-3.38,0.51,1,0,0
1.00,-0.64,-0.99,-0.52,-0.90,-0.55,-3.21,0.82,1,0,0
1.00,-0.63,-1.07,-0.51,-0.99,-0.45,-2.31,0.02,1,0,0
1.00,-0.58,-0.85,-0.61,-0.93,-0.70,-2.18,-0.02,1,0,0
1.00,-0.74,-1.08,-0.65,-1.13,-0.61,-2.52,0.44,1,0,0
1.00,-0.66,-0.88,-0.75,-1.03,-0.79,-3.16,0.55,1,0,0
1.00,-0.64,-0.95,-0.59,-1.15,-0.46,-3.30,0.84,1,0,0
1.00,-0.76,-0.92,-0.59,-1.06,-0.43,-3.13,1.02,1,0,0
1.00,-0.45,-1.15,-0.50,-1.09,-0.56,-0.88,1.24,1,0,0
1.00,-0.55,-1.00,-0.52,-1.02,-0.52,-2.52,0.99,1,0,0
1.00,-0.47,-1.15,-0.52,-1.09,-0.40,-1.46,0.40,1,0,0
1.00,-0.63,-1.10,-0.77,-1.16,-0.69,-0.85,0.54,1,0,0
1.00,-0.43,-1.19,-0.78,-1.01,-0.64,-2.87,1.25,1,0,0
1.00,-0.46,-1.10,-0.65,-0.96,-0.68,-3.91,0.55,1,0,0
1.00,-0.70,-0.91,-0.48,-0.92,-0.42,-3.41,0.00,1,0,0
1.00,-0.76,-1.17,-0.42,-1.01,-0.43,-2.40,0.14,1,0,0
1.00,-0.51,-1.17,-0.51,-0.98,-0.64,-3.37,0.38,1,0,0
1.00,-0.72,-1.08,-0.80,-0.89,-0.50,-1.43,1.11,1,0,0
1.00,-0.62,-1.07,-0.58,-1.00,-0.41,-2.26,0.95,1,0,0
1.00,-0.72,-1.00,-0.59,-0.93,-0.57,-1.85,0.81,1,0,0
1.00,-0.80,-1.02,-0.77,-1.01,-0.46,-3.73,0.30,1,0,0
1.00,-0.53,-0.92,-0.56,-1.00,-0.41,-2.78,0.97,1,0,0
1.00,-0.76,-1.16,-0.64,-0.92,-0.66,-4.34,1.00,1,0,0
1.00,-0.72,-1.06,-0.56,-0.93,-0.46,-2.11,-0.01,1,0,0
1.00,-0.57,-0.92,-0.62,-1.05,-0.61,-1.27,0.03,1,0,0
1.00,-0.52,-1.13,-0.64,-1.18,-0.70,-4.19,1.12,1,0,0
1.00,-0.50,-1.18,-0.57,-1.01,-0.47,-3.12,0.27,1,0,0
1.00,-0.74,-1.08,-0.60,-1.01,-0.50,-3.89,1.05,1,0,0
1.00,-0.40,-0.98,-0.47,-1.14,-0.46,-0.84,-0.09,1,0,0
1.00,-0.51,-1.11,-0.48,-1.04,-0.79,-2.96,1.16,1,0,0
1.00,-0.72,-0.89,-0.59,-1.19,-0.60,-1.36,0.79,1,0,0
1.00,-0.61,-1.01,-0.46,-0.93,-0.54,-3.40,0.66,1,0,0
1.00,-0.75,-0.90,-0.73,-1.06,-0.70,-1.11,1.22,1,0,0
