Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y
1.00,-0.52,-1.01,-0.79,-0.85,-0.57,-2.70,0.65,1
1.00,-0.56,-1.10,-0.63,-1.17,-0.73,-3.28,-0.12,1
1.00,-0.51,-0.93,-0.51,-1.11,-0.74,-1.62,1.21,1
1.00,-0.56,-1.06,-0.67,-0.95,-0.65,-3.88,1.27,1
1.00,-0.46,-0.88,-0.70,-1.16,-0.73,-3.02,0.04,1
1.00,-0.72,-1.17,-0.46,-0.91,-0.58,-3.33,0.14,1
1.00,-0.75,-1.04,-0.55,-0.95,-0.73,-3.57,1.14,1
1.00,-0.67,-0.92,-0.59,-1.07,-0.54,-0.89,0.53,1
1.00,-0.79,-1.03,-0.78,-1.15,-0.45,-3.64,1.05,1
1.00,-0.51,-1.12,-0.63,-0.97,-0.72,-1.75,-0.12,1
1.00,-0.71,-0.91,-0.74,-1.19,-0.73,-1.95,1.04,1
1.00,-0.69,-1.01,-0.58,-0.94,-0.74,-1.56,1.24,1
1.00,-0.63,-1.06,-0.45,-1.10,-0.66,-0.99,0.42,1
1.00,-0.44,-1.03,-0.43,-1.00,-0.53,-2.53,1.26,1
1.00,-0.69,-1.13,-0.46,-0.94,-0.54,-4.18,0.16,1
1.00,-0.66,-0.96,-0.41,-1.00,-0.55,-1.75,0.69,1
1.00,-0.45,-0.91,-0.59,-1.09,-0.50,-4.41,0.94,1
1.00,-0.50,-0.87,-0.68,-0.89,-0.74,-4.11,0.52,1
1.00,-0.50,-0.92,-0.52,-0.94,-0.65,-1.50,0.89,1
1.00,-0.47,-0.94,-0.43,-0.91,-0.63,-3.61,-0.04,1
1.00,-0.45,-1.18,-0.78,-1.04,-0.45,-1.62,1.17,1
1.00,-0.53,-1.02,-0.62,-0.90,-0.57,-1.68,1.14,1
1.00,-0.73,-1.18,-0.57,-1.01,-0.43,-2.80,0.56,1
1.00,-0.67,-1.18,-0.72,-1.14,-0.44,-1.25,0.62,1
1.00,-0.48,-1.02,-0.71,-0.86,-0.41,-3.94,1.14,1
1.00,-0.79,-0.95,-0.66,-0.93,-0.71,-4.26,0.56,1
1.00,-0.73,-1.13,-0.55,-0.95,-0.56,-4.17,0.54,1
1.00,-0.40,-0.85,-0.72,-0.88,-0.56,-3.05,0.69,1
1.00,-0.44,-1.19,-0.44,-1.20,-0.68,-3.24,0.51,1
1.00,-0.77,-0.97,-0.51,-1.05,-0.74,-2.32,0.65,1
1.00,-0.50,-1.04,-0.51,-0.95,-0.52,-1.51,1.27,1
1.00,-0.47,-0.96,-0.47,-1.10,-0.62,-1.92,0.40,1
