Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y
1.00,-0.60,-1.11,-0.70,-1.17,-0.75,-1.53,1.11,1
1.00,-0.56,-1.11,-0.49,-1.18,-0.52,-3.14,1.29,1
1.00,-0.66,-0.98,-0.42,-0.89,-0.60,-1.21,0.22,1
1.00,-0.73,-1.05,-0.72,-1.07,-0.42,-1.95,0.36,1
1.00,-0.61,-0.96,-0.71,-1.01,-0.57,-3.84,1.13,1
1.00,-0.55,-1.05,-0.55,-1.05,-0.76,-1.10,1.06,1
1.00,-0.74,-0.92,-0.44,-1.06,-0.61,-4.40,0.37,1
1.00,-0.44,-0.88,-0.54,-0.99,-0.44,-4.36,-0.07,1
1.00,-0.79,-0.95,-0.42,-0.95,-0.40,-1.93,0.53,1
1.00,-0.66,-1.15,-0.53,-1.15,-0.67,-3.80,1.28,1
1.00,-0.53,-0.86,-0.54,-0.85,-0.42,-2.42,0.37,1
1.00,-0.62,-0.98,-0.68,-1.20,-0.46,-2.89,-0.12,1
1.00,-0.79,-1.10,-0.45,-0.90,-0.62,-3.78,0.00,1
1.00,-0.60,-0.93,-0.62,-0.91,-0.73,-1.15,0.12,1
1.00,-0.74,-0.86,-0.68,-0.92,-0.47,-2.87,0.85,1
1.00,-0.48,-0.86,-0.65,-1.02,-0.55,-1.54,1.11,1
1.00,-0.69,-1.15,-0.60,-0.91,-0.76,-3.89,0.33,1
1.00,-0.52,-1.18,-0.56,-0.92,-0.44,-1.53,-0.07,1
1.00,-0.64,-1.17,-0.65,-0.87,-0.74,-1.91,0.92,1
1.00,-0.52,-1.10,-0.42,-1.01,-0.50,-1.05,0.36,1
1.00,-0.79,-1.19,-0.70,-1.17,-0.55,-3.67,0.39,1
1.00,-0.76,-0.92,-0.79,-1.02,-0.52,-3.87,0.09,1
1.00,-0.70,-1.19,-0.73,-1.12,-0.52,-1.16,0.74,1
1.00,-0.49,-0.94,-0.43,-0.93,-0.51,-2.73,1.22,1
1.00,-0.50,-1.00,-0.43,-0.91,-0.61,-3.64,0.80,1
1.00,-0.57,-1.03,-0.62,-0.86,-0.78,-1.06,0.18,1
