Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2,y3
1.00,-0.65,-1.10,-0.52,-0.92,-0.54,-1.87,1.29,1,0,0
1.00,-0.78,-1.08,-0.72,-1.09,-0.48,-3.85,0.22,1,0,0
1.00,-0.40,-1.03,-0.62,-1.10,-0.40,-1.16,1.16,1,0,0
1.00,-0.77,-1.15,-0.55,-1.07,-0.47,-1.34,0.04,1,0,0
1.00,-0.66,-0.99,-0.72,-0.86,-0.55,-2.35,0.74,1,0,0
1.00,-0.62,-0.88,-0.73,-1.15,-0.75,-1.82,-0.14,1,0,0
1.00,-0.57,-1.13,-0.57,-0.90,-0.56,-1.20,0.15,1,0,0
1.00,-0.49,-0.97,-0.55,-1.19,-0.49,-2.27,-0.08,1,0,0
1.00,-0.72,-0.99,-0.72,-0.85,-0.59,-3.56,0.55,1,0,0
1.00,-0.70,-1.19,-0.47,-1.00,-0.68,-1.55,0.53,1,0,0
1.00,-0.51,-0.95,-0.55,-0.94,-0.77,-3.24,1.25,1,0,0
1.00,-0.59,-1.17,-0.58,-1.04,-0.51,-2.19,0.60,1,0,0
1.00,-0.51,-0.89,-0.42,-0.96,-0.57,-3.04,0.78,1,0,0
1.00,-0.43,-1.02,-0.53,-0.96,-0.65,-0.86,0.87,1,0,0
1.00,-0.57,-1.14,-0.50,-0.95,-0.51,-3.78,0.89,1,0,0
1.00,-0.56,-1.20,-0.74,-1.00,-0.41,-4.35,0.10,1,0,0
1.00,-0.67,-0.89,-0.75,-1.00,-0.48,-3.40,0.25,1,0,0
1.00,-0.68,-1.14,-0.52,-1.08,-0.77,-1.97,0.09,1,0,0
1.00,-0.50,-0.97,-0.44,-1.18,-0.56,-3.04,0.04,1,0,0
1.00,-0.71,-0.95,-0.41,-1.15,-0.66,-1.50,0.79,1,0,0
1.00,-0.72,-1.13,-0.44,-0.97,-0.61,-4.19,0.08,1,0,0
1.00,-0.53,-1.00,-0.64,-1.03,-0.43,-2.09,1.14,1,0,0
1.00,-0.58,-0.88,-0.60,-1.04,-0.41,-4.22,0.72,1,0,0
1.00,-0.46,-1.09,-0.75,-1.00,-0.54,-3.47,0.72,1,0,0
1.00,-0.42,-1.01,-0.60,-1.15,-0.51,-2.65,0.50,1,0,0
1.00,-0.41,-0.98,-0.56,-1.03,-0.50,-3.96,-0.15,1,0,0
1.00,-0.79,-0.99,-0.47,-1.07,-0.78,-3.29,0.01,1,0,0
1.00,-0.57,-1.02,-0.40,-0.97,-0.44,-2.64,0.96,1,0,0
1.00,-0.49,-1.13,-0.61,-0.91,-0.53,-4.46,0.21,1,0,0
1.00,-0.61,-1.00,-0.63,-0.97,-0.66,-1.41,0.29,1,0,0
1.00,-0.70,-1.14,-0.48,-0.98,-0.51,-2.44,0.38,1,0,0
1.00,-0.72,-1.16,-0.42,-0.99,-0.75,-3.59,0.11,1,0,0
1.00,-0.40,-1.14,-0.47,-1.01,-0.68,-3.75,0.50,1,0,0
1.00,-0.48,-0.98,-0.74,-1.05,-0.62,-1.41,0.65,1,0,0
1.00,-0.76,-1.10,-0.68,-0.99,-0.74,-4.17,1.20,1,0,0
1.00,-0.79,-0.88,-0.54,-1.10,-0.73,-2.92,1.02,1,0,0
1.00,-0.58,-1.13,-0.78,-1.02,-0.48,-2.50,0.30,1,0,0
1.00,-0.41,-0.99,-0.77,-0.99,-0.48,-3.34,0.18,1,0,0
1.00,-0.66,-1.16,-0.68,-0.92,-0.48,-2.80,0.63,1,0,0
1.00,-0.74,-1.03,-0.50,-1.14,-0.52,-2.88,-0.05,1,0,0
1.00,-0.62,-0.96,-0.45,-0.98,-0.80,-3.08,1.29,1,0,0
1.00,-0.75,-0.93,-0.67,-1.07,-0.67,-3.07,0.65,1,0,0
1.00,-0.68,-0.88,-0.50,-0.85,-0.48,-1.11,1.11,1,0,0
1.00,-0.71,-1.10,-0.60,-0.96,-0.57,-1.46,1.09,1,0,0
1.00,-0.64,-1.16,-0.74,-0.91,-0.57,-1.52,0.81,1,0,0
1.00,-0.61,-0.92,-0.43,-0.85,-0.77,-3.79,0.80,1,0,0
1.00,-0.47,-0.98,-0.68,-1.01,-0.54,-3.94,0.52,1,0,0
1.00,-0.69,-1.11,-0.64,-0.95,-0.64,-3.07,-0.05,1,0,0
1.00,-0.44,-1.12,-0.66,-0.95,-0.72,-3.97,0.08,1,0,0
1.00,-0.57,-0.98,-0.70,-1.01,-0.66,-3.34,-0.12,1,0,0
1.00,-0.72,-1.19,-0.51,-0.89,-0.80,-1.55,0.71,1,0,0
1.00,-0.50,-1.12,-0.45,-0.91,-0.44,-4.50,0.89,1,0,0
1.00,-0.71,-1.17,-0.57,-1.00,-0.49,-3.01,0.34,1,0,0
1.00,-0.72,-0.99,-0.51,-1.03,-0.57,-4.40,0.23,1,0,0
1.00,-0.56,-1.13,-0.69,-0.90,-0.70,-3.20,0.32,1,0,0
1.00,-0.77,-0.88,-0.59,-1.03,-0.77,-4.34,0.11,1,0,0
1.00,-0.65,-1.08,-0.74,-1.10,-0.68,-2.17,0.98,1,0,0
1.00,-0.72,-0.85,-0.51,-1.10,-0.66,-4.00,1.01,1,0,0
1.00,-0.44,-0.98,-0.66,-1.17,-0.49,-3.56,0.60,1,0,0
1.00,-0.57,-0.98,-0.43,-1.00,-0.75,-2.31,0.37,1,0,0
1.00,-0.49,-1.05,-0.58,-0.91,-0.77,-4.29,0.67,1,0,0
1.00,-0.70,-0.93,-0.64,-1.19,-0.42,-2.52,1.23,1,0,0
1.00,-0.49,-1.13,-0.70,-1.12,-0.76,-2.54,0.37,1,0,0
1.00,-0.49,-1.13,-0.78,-1.14,-0.77,-3.54,-0.09,1,0,0
1.00,-0.62,-0.91,-0.55,-1.03,-0.48,-2.77,1.13,1,0,0
1.00,-0.55,-1.00,-0.40,-1.09,-0.48,-4.42,0.31,1,0,0
1.00,-0.62,-1.07,-0.54,-1.09,-0.43,-4.30,0.50,1,0,0
1.00,-0.59,-1.14,-0.44,-1.18,-0.59,-1.35,1.12,1,0,0
1.00,-0.75,-1.07,-0.74,-0.88,-0.79,-3.01,0.76,1,0,0
1.00,-0.56,-0.91,-0.65,-1.08,-0.69,-3.50,0.98,1,0,0
1.00,-0.53,-1.01,-0.77,-0.95,-0.58,-1.99,0.57,1,0,0
1.00,-0.74,-1.07,-0.57,-1.01,-0.47,-1.61,0.18,1,0,0
1.00,-0.77,-1.06,-0.55,-1.16,-0.70,-4.32,-0.13,1,0,0
1.00,-0.74,-1.10,-0.67,-1.00,-0.63,-3.04,0.47,1,0,0
1.00,-0.47,-0.96,-0.78,-0.87,-0.53,-1.58,1.21,1,0,0
1.00,-0.67,-1.03,-0.43,-0.92,-0.70,-2.44,0.04,1,0,0
1.00,-0.75,-0.93,-0.76,-0.98,-0.53,-2.90,-0.01,1,0,0
1.00,-0.43,-1.14,-0.78,-1.17,-0.80,-1.24,0.43,1,0,0
1.00,-0.76,-0.88,-0.67,-1.14,-0.52,-2.71,0.08,1,0,0
1.00,-0.54,-1.18,-0.67,-1.08,-0.76,-2.61,0.68,1,0,0
1.00,-0.60,-0.89,-0.49,-1.03,-0.77,-3.47,0.48,1,0,0
1.00,-0.62,-1.03,-0.41,-1.03,-0.43,-3.28,1.02,1,0,0
1.00,-0.77,-0.97,-0.47,-0.89,-0.40,-2.67,-0.01,1,0,0
1.00,-0.80,-1.04,-0.61,-0.92,-0.42,-3.29,0.40,1,0,0
1.00,-0.74,-1.18,-0.71,-1.05,-0.57,-3.54,0.82,1,0,0
1.00,-0.49,-1.19,-0.70,-0.92,-0.52,-1.30,0.47,1,0,0
1.00,-0.47,-0.94,-0.55,-0.85,-0.75,-3.69,0.90,1,0,0
1.00,-0.78,-1.06,-0.53,-1.15,-0.76,-1.17,1.25,1,0,0
1.00,-0.60,-0.92,-0.50,-1.07,-0.49,-2.16,0.85,1,0,0
